effective_date,added_ticker,added_security,removed_ticker,removed_security,reason,announcement_date
2022-04-04,CPT,Camden Property Trust,PBCT,People's United Financial,S&P 500 constituent M&T Bank Corp. acquired People's United Financial.[49],2022-03-28
2022-03-02,MOH,Molina Healthcare,INFO,IHS Markit,S&P 500 constituent S&P Global Inc. acquired IHS Markit.[50],2022-02-23
2022-02-15,NDSN,Nordson Corporation,XLNX,Xilinx,S&P 500 constituent Advanced Micro Devices acquired Xilinx.[51],2022-02-08
2022-02-03,,,GPS,Gap,Market capitalization change.[52],2022-01-27
2022-02-02,CEG,Constellation Energy,,,S&P 500 and 100 constituent Exelon Corp. spun off Constellation Energy.[52],2022-01-26
2021-12-20,SBNY,Signature Bank,LEG,Leggett & Platt,Market capitalization change.[53],2021-12-13
2021-12-20,SEDG,SolarEdge,HBI,Hanesbrands,Market capitalization change.[53],2021-12-13
2021-12-20,FDS,FactSet,WU,Western Union,Market capitalization change.[53],2021-12-13
2021-12-14,EPAM,EPAM Systems,KSU,Kansas City Southern,Canadian Pacific acquired Kansas City Southern.[54],2021-12-07
2021-09-20,MTCH,Match Group,PRGO,Perrigo,Market capitalization change.[55],2021-09-13
2021-09-20,CDAY,Ceridian,UNM,Unum,Market capitalization change.[55],2021-09-13
2021-09-20,BRO,Brown & Brown,NOV,Nov,Market capitalization change.[55],2021-09-13
2021-08-30,TECH,Bio-Techne,MXIM,Maxim Integrated,S&P 500 constituent Analog Devices acquired Maxim Integrated Products.[56],2021-08-23
2021-07-21,MRNA,Moderna,ALXN,Alexion Pharmaceuticals,AstraZeneca acquired Alexion Pharmaceuticals.[57],2021-07-14
2021-06-04,,,HFC,HollyFrontier,Market capitalization change.[52],2021-05-28
2021-06-03,OGN,Organon & Co.,,,S&P 500/100 constituent Merck & Co. spun off Organon.[52],2021-05-27
2021-05-14,CRL,Charles River Laboratories,FLIR,FLIR Systems,S&P 500 constituent Teledyne Technologies acquired FLIR Systems.[58],2021-05-07
2021-04-20,PTC,PTC,VAR,Varian Medical Systems,Siemens Healthineers acquired Varian Medical Systems.[59],2021-04-13
2021-03-22,NXPI,NXP,FLS,Flowserve,Market capitalization change.[60],2021-03-15
2021-03-22,PENN,Penn National Gaming,SLG,SL Green Realty,Market capitalization change.[60],2021-03-15
2021-03-22,GNRC,Generac Holdings,XRX,Xerox,Market capitalization change.[60],2021-03-15
2021-03-22,CZR,Caesars Entertainment,VNT,Vontier,Market capitalization change.[60],2021-03-15
2021-02-12,MPWR,Monolithic Power Systems,FTI,TechnipFMC,TechnipFMC was removed from the S&P 500 in anticipation of its announced spin-off of Technip Energies.[61],2021-02-05
2021-01-21,TRMB,Trimble,CXO,Concho Resources,S&P 500/100 constituent ConocoPhillips acquired Concho Resources.[62],2021-01-14
2021-01-07,ENPH,Enphase Energy,TIF,Tiffany & Co,LVMH Moet Hennessy-Louis Vuitton SE acquired Tiffany & Co.[63],2020-12-31
2020-12-21,TSLA,Tesla,AIV,Apartment Investment & Management,Apartment Investment and Management (Aimco) spun off Apartment Income REIT.[64],2020-12-14
2020-10-12,,,NBL,Noble Energy,Chevron acquired Noble Energy.[65],2020-10-05
2020-10-09,VNT,Vontier,,,S&P 500 constituent Fortive spun off Vontier.[65],2020-10-02
2020-10-07,POOL,Pool Corporation,ETFC,E-Trade,Morgan Stanley acquired E*Trade.[66],2020-09-30
2020-09-21,ETSY,Etsy,HRB,H&R Block,Market capitalization change.[67],2020-09-14
2020-09-21,TER,Teradyne,COTY,Coty,Market capitalization change.[67],2020-09-14
2020-09-21,CTLT,Catalent,KSS,Kohl's,Market capitalization change.[67],2020-09-14
2020-06-22,BIO,Bio-Rad Laboratories,ADS,Alliance Data Systems,Market capitalization change.[68],2020-06-15
2020-06-22,TDY,Teledyne,HOG,Harley-Davidson,Market capitalization change.[68],2020-06-15
2020-06-22,TYL,Tyler Technologies,JWN,Nordstrom,Market capitalization change.[68],2020-06-15
2020-05-22,WST,West Pharmaceutical Services,HP,Helmerich & Payne,Market capitalization change.[69],2020-05-15
2020-05-12,DPZ,Domino's Pizza,CPRI,Capri Holdings,Market capitalization change.[70],2020-05-05
2020-05-12,DXCM,Dexcom,AGN,Allergan,Allergan acquired by AbbVie.[70],2020-05-05
2020-04-06,,,M,Macy's,Market capitalization change.[71],2020-03-30
2020-04-06,,,RTN,Raytheon Company,United Technologies spun off Otis and Carrier and acquired Raytheon Company.[71],2020-03-30
2020-04-03,OTIS,Otis Worldwide,,,United Technologies spun off Otis and Carrier and acquired Raytheon Company.[71],2020-03-27
2020-04-03,CARR,Carrier,,,United Technologies spun off Otis and Carrier and acquired Raytheon Company.[71],2020-03-27
2020-04-01,HWM,Howmet Aerospace,ARNC,Arconic,Arconic separated into 2 companies - Howmet remained on the index.[72],2020-03-25
2020-03-02,IR,Ingersoll Rand,XEC,Cimarex Energy,"Gardner Denver acquired Ingersoll Rand's industrial businesses then changed its name to the ""new"" Ingersoll Rand Inc.[73][74]",2020-02-24
2020-01-28,PAYC,Paycom,WCG,WellCare,S&P 500 constituent Centene Corp. (NYSE: CNC) acquired Wellcare Health Plans.[75],2020-01-21
2019-12-23,LYV,Live Nation Entertainment,AMG,Affiliated Managers Group,Market capitalization change.[76],2019-12-16
2019-12-23,ZBRA,Zebra Technologies,TRIP,TripAdvisor,Market capitalization change.[76],2019-12-16
2019-12-23,STE,Steris,MAC,Macerich,Market capitalization change.[76],2019-12-16
2019-12-09,ODFL,Old Dominion Freight Line,STI,SunTrust Banks,BB&T acquired SunTrust to form Truist Financial.[77],2019-12-02
2019-12-05,WRB,W. R. Berkley Corporation,VIAB,Viacom,CBS acquired Viacom to form ViacomCBS.[78],2019-11-28
2019-11-21,NOW,ServiceNow,CELG,Celgene,Bristol-Myers Squibb (NYSE:BMY) acquired Celgene.[79],2019-11-14
2019-10-03,LVS,Las Vegas Sands,NKTR,Nektar Therapeutics,Market capitalization change.[80],2019-09-26
2019-09-26,NVR,NVR,JEF,Jefferies Financial Group,JEF spun off SPB.[81],2019-09-19
2019-09-23,CDW,CDW Corporation,TSS,TSYS,S&P 500 constituent Global Payments (NYSE: GPN) acquired TSS.[82],2019-09-16
2019-08-09,LDOS,Leidos,APC,Anadarko Petroleum,S&P 500 & 100 constituent Occidental Petroleum Corp. (NYSE:OXY) acquired Anadarko Petroleum.[83],2019-08-02
2019-08-09,IEX,IDEX Corporation,FL,Foot Locker,Market capitalization change.[83],2019-08-02
2019-07-15,TMUS,T-Mobile US,RHT,Red Hat,S&P 500 & 100 constituent IBM acquired Red Hat.[84],2019-07-08
2019-07-01,MKTX,MarketAxess,LLL,L3 Technologies,L3 purchased by Harris Corporation[85],2019-06-24
2019-06-11,AMCR,Amcor,BMS,Bemis,BMS changed to AMCR post merger with Amcor;[86] subsequently renamed to Amcor[87],2019-06-04
2019-06-07,BMS,Bemis,MAT,Mattel,Pending merger of Bemis and Amcor; Bemis treated as the surviving entity.[87],2019-05-31
2019-06-03,DD,DuPont,DWDP,DuPont,DWDP changed to DD after spinning off Corteva.[88],2019-05-27
2019-06-03,CTVA,Corteva,FLR,Fluor Corporation,CTVA spun off from DWDP (which then changed symbol to DD)[88],2019-05-27
2019-04-02,DOW,Dow,BHF,Brighthouse Financial,DOW spun off from DWDP[89],2019-03-26
2019-03-19,FOXA,Fox Corporation,FOXA,21st Century Fox,21st Century Fox merged with Disney and some parts spun off as Fox Corporation.[90],2019-03-12
2019-03-19,FOX,Fox Corporation,FOX,21st Century Fox,21st Century Fox merged with Disney and some parts spun off as Fox Corporation.[90],2019-03-12
2019-02-27,WAB,Wabtec,GT,The Goodyear Tire & Rubber Company,WAB acquired GE transportation business[91],2019-02-20
2019-02-15,ATO,Atmos Energy,NFX,Newfield Exploration,ECA acquired NFX[92],2019-02-08
2019-01-18,TFX,Teleflex,PCG,Pacific Gas & Electric Company,PCG filed for bankruptcy[93],2019-01-11
2019-01-02,FRC,First Republic Bank,SCG,SCANA,Dominion Energy acquired SCANA Corporation[94],2018-12-26
2018-12-24,CE,Celanese,ESRX,Express Scripts,S&P 500 constituent Cigna (NYSE: CI) acquired ESRX[95],2018-12-17
2018-12-03,LW,Lamb Weston,COL,Rockwell Collins,UTX acquired COL[96],2018-11-26
2018-12-03,MXIM,Maxim Integrated,AET,Aetna,CVS acquired Aetna[96],2018-11-26
2018-12-03,FANG,Diamondback Energy,SRCL,Stericycle,Market Capitalization change[96],2018-11-26
2018-11-13,JKHY,Jack Henry & Associates,EQT,EQT Corporation,EQT spun off ETRN[97],2018-11-06
2018-11-06,KEYS,Keysight,CA,CA Technologies,CA acquired by Broadcom.[98],2018-10-30
2018-10-11,FTNT,Fortinet,EVHC,Envision Healthcare,EVHC acquired by KKR.[99],2018-10-04
2018-10-01,ROL,Rollins,ANDV,Andeavor,ANDV acquired by Marathon Petroleum.[100],2018-09-24
2018-09-14,WCG,WellCare,XL,XL Group,XL acquired by Axa.[101],2018-09-07
2018-08-28,ANET,Arista Networks,GGP,GGP,GGP acquired by Brookfield Property Partners.[102],2018-08-21
2018-07-02,CPRT,Copart,DPS,Dr Pepper Snapple Group,DPS acquired by Keurig Green Mountain.[103],2018-06-25
2018-06-20,FLT,FleetCor Technologies,TWX,Time Warner,AT&T acquired Time Warner.[104],2018-06-13
2018-06-18,BR,Broadridge Financial Solutions,RRC,Range Resources,Market capitalization change.[105],2018-06-11
2018-06-18,HFC,HollyFrontier,AYI,Acuity Brands,Market capitalization change.[105],2018-06-11
2018-06-07,TWTR,Twitter,MON,Monsanto,Bayer acquired Monsanto.[106],2018-05-31
2018-06-05,EVRG,Evergy,NAVI,Navient,Westar Energy (NYSE: WR) acquired Great Plains Energy (NYSE: GXP) and changed name to Evergy.[107],2018-05-29
2018-05-31,ABMD,Abiomed,WYN,Wyndham Worldwide,Wyndham Worldwide spun off Wyndham Hotels & Resorts (NYSE:WH).[108],2018-05-24
2018-04-04,MSCI,MSCI,CSRA,CSRA,S&P 500 constituent General Dynamics (NYSE: GD) acquired CSRA.[109],2018-03-28
2018-03-19,TTWO,Take-Two Interactive,SIG,Signet Jewelers,Market capitalization change.[110],2018-03-12
2018-03-19,SIVB,SVB Financial Group,PDCO,Patterson Companies,Market capitalization change.[110],2018-03-12
2018-03-19,NKTR,Nektar Therapeutics,CHK,Chesapeake Energy,Market capitalization change.[110],2018-03-12
2018-03-07,IPGP,IPG Photonics,SNI,Scripps Networks Interactive,Discovery Communications acquired SNI.[111],2018-02-28
2018-01-03,HII,Huntington Ingalls Industries,BCR,CR Bard,Becton Dickinson acquired BCR.[112],2017-12-27
2017-10-13,NCLH,Norwegian Cruise Line Holdings,LVLT,Level 3 Communications,CenturyLink acquired LVLT.[113],2017-10-06
2017-09-18,CDNS,Cadence Design Systems,SPLS,Staples,Sycamore Partners acquired Staples.[114],2017-09-11
2017-09-01,DWDP,DuPont,DOW,Dow Chemical Company,The Dow Chemical Company renamed to DowDuPont Inc. and ticker changed from DOW to DWDP after acquiring DuPont.[115],2017-08-25
2017-09-01,SBAC,SBA Communications,DD,DuPont,The Dow Chemical Company acquired DuPont.[115],2017-08-25
2017-08-29,Q,QuintilesIMS,WFM,Whole Foods Market,Amazon acquired Whole Foods Market.[115],2017-08-22
2017-08-08,BHF,Brighthouse Financial,AN,AutoNation,"BHF replaced AN,[116] MET spun off BHF[116]",2017-08-01
2017-07-26,DRE,Duke Realty Corp,RIG,Transocean,Market capitalization change.[117],2017-07-19
2017-07-26,AOS,A. O. Smith,BBBY,Bed Bath & Beyond,Market capitalization change.[117],2017-07-19
2017-07-26,PKG,Packaging Corporation of America,MUR,Murphy Oil,Market capitalization change.[117],2017-07-19
2017-07-26,RMD,ResMed,MNK,Mallinckrodt,Market capitalization change.[117],2017-07-19
2017-07-26,MGM,MGM Resorts International,RAI,Reynolds American,British American Tobacco (NYSE MKT:BTI) acquired Reynolds American.[117],2017-07-19
2017-07-07,BKR,Baker Hughes,BHI,Baker Hughes,Baker Hughes merged with GE Oil & Gas to form new company.[118],2017-06-30
2017-06-19,HLT,Hilton,YHOO,Yahoo!,VZ acquired YHOO operations; remainder of YHOO converted to closed-end company known as Altaba.[119],2017-06-12
2017-06-19,ALGN,Align Technology,TDC,Teradata,Market capitalization changes.[119],2017-06-12
2017-06-19,ANSS,Ansys,R,Ryder System,Market capitalization changes.[119],2017-06-12
2017-06-19,RE,Everest Re,MJN,Mead Johnson,Reckitt Benckiser acquired Mead Johnson Nutrition.[120],2017-06-12
2017-06-02,INFO,IHS Markit,TGNA,Tegna,TGNA spins off Cars.com[121],2017-05-26
2017-04-05,IT,Gartner,DNB,Dun & Bradstreet,IT acquiring CEB[122],2017-03-29
2017-04-04,DXC,DXC Technology,SWN,Southwestern Energy,"HPE spins off Everett, merged with CSC to form DXC[123][124]",2017-03-28
2017-03-20,AMD,Advanced Micro Devices,URBN,Urban Outfitters,Market capitalization change.[125],2017-03-13
2017-03-20,RJF,Raymond James Financial,FTR,Frontier Communications,Market capitalization change.[125],2017-03-13
2017-03-20,ARE,Alexandria Real Estate Equities,FSLR,First Solar,Market capitalization change.[125],2017-03-13
2017-03-16,SNPS,Synopsys,HAR,Harman International,Samsung Electronics acquired Harman International Industries.[126],2017-03-09
2017-03-13,DISH,Dish Network,LLTC,Linear Technology,S&P 500 constituent Analog Devices (NASD:ADI) acquired Linear Technology.[127],2017-03-06
2017-03-02,REG,Regency Centers,ENDP,Endo International,REG acquires EQY[128],2017-02-23
2017-03-01,CBOE,Cboe Holdings,PBI,Pitney Bowes,CBOE acquires BATS[128],2017-02-22
2017-02-28,INCY,Incyte,SE,Spectra Energy,SE acquired by ENB[128],2017-02-21
2017-01-05,IDXX,Idexx Laboratories,STJ,St Jude Medical,S&P 100 & 500 constituent Abbott Laboratories (NYSE:ABT) acquired St. Jude Medical.[129],2016-12-29
2016-12-02,MAA,Mid-America Apartments,OI,Owens-Illinois,Market capitalization change.[130],2016-11-25
2016-12-02,EVHC,Envision Healthcare,LM,Legg Mason,Market capitalization change.[130],2016-11-25
2016-11-01,ARNC,Arconic,AA,Alcoa,AA spins off ARNC,2016-10-25
2016-09-30,COTY,Coty,DO,Diamond Offshore Drilling,COTY replaces DO[131],2016-09-23
2016-09-22,COO,The Cooper Companies,HOT,Starwood,MAR acquires HOT[132],2016-09-15
2016-09-08,CHTR,Charter Communications,EMC,EMC Corporation,Dell acquires EMC[133],2016-09-01
2016-09-06,MTD,Mettler Toledo,TYC,Tyco International,TYC acquires JCI (and retains JCI ticker).[134],2016-08-30
2016-07-05,FTV,Fortive Corp,CPGX,Columbia Pipeline Group,CPGX acquired by TRP[135],2016-06-28
2016-07-01,LNT,Alliant Energy Corp,GAS,AGL Resources,GAS acquired by SO[136],2016-06-24
2016-07-01,ALB,Albemarle Corporation,TE,TECO Energy,TE acquired by EMA[135],2016-06-24
2016-06-22,FBHS,Fortune Brands Home & Security,CVC,Cablevision Systems,CVC acquired by Altice NV[137],2016-06-15
2016-06-03,TDG,TransDigm Group,BXLT,Baxalta,SHPG acquiring BXLT[138],2016-05-27
2016-05-31,AJG,Arthur J. Gallagher & Co.,CCE,Coca-Cola Enterprises,CCE merging with European bottlers[139],2016-05-24
2016-05-23,LKQ,LKQ Corporation,ARG,Airgas,ARG acquired by Air Liquide[140],2016-05-16
2016-05-18,DLR,Digital Realty,TWC,Time Warner Cable,TWC acquired by CHTR[141],2016-05-11
2016-05-13,ALK,Alaska Air Group,SNDK,SanDisk,SNDK acquired by WDC[142],2016-05-06
2016-05-03,AYI,Acuity Brands,ADT,ADT,ADT acquired by APO[143],2016-04-26
2016-04-25,GPN,Global Payments,GME,GameStop,Global Payments is acquiring Heartland Payment Systems[144],2016-04-18
2016-04-18,ULTA,Ulta Beauty,THC,Tenet Healthcare,Ulta replaces Tenet[145],2016-04-11
2016-04-08,UA,Under Armour (Class C),,,Under Armour distribution of second class of stock,2016-04-01
2016-04-04,FL,Foot Locker,CAM,Cameron International,Schlumberger acquired Cameron[146],2016-03-28
2016-03-30,HOLX,Hologic,POM,Pepco Holdings,Exelon acquired Pepco.[147],2016-03-23
2016-03-30,CNC,Centene Corporation,ESV,Ensco,Centene acquired Health Net.[147],2016-03-23
2016-03-07,UDR,UDR,GMCR,Keurig Green Mountain,JAB Holding Company acquired Keurig Green Mountain[148],2016-02-29
2016-03-04,AWK,American Water Works,CNX,Consol Energy,AWK replaces CNX[149],2016-02-26
2016-02-22,CXO,Concho Resources,PCL,Plum Creek Timber,PCL taken over by WY[150],2016-02-15
2016-02-01,CFG,Citizens,PCP,Precision Castparts Corporation,CFG replaces PCP[151],2016-01-25
2016-02-01,FRT,Federal Realty Investment Trust,BRCM,Broadcom Corporation,FRT replaces BRCM[152],2016-01-25
2016-01-19,EXR,Extra Space Storage,ACE,Chubb,"EXR replaces ACE as ACE Ltd acquires Chubb and retains the CB ticker, giving up ACE[153]",2016-01-12
2016-01-05,WLTW,Willis Towers Watson,FOSL,Fossil Group,WSH merges with TW (and renames to WLTW)[154],2015-12-29
2015-12-29,CHD,Church & Dwight,ALTR,Altera,ALTR taken over by INTC[155],2015-12-22
2015-12-15,,,CMCSK,Comcast K Corp,CMCSK shares no longer listed[156],2015-12-08
2015-12-01,CSRA,CSRA,CSC,Computer Sciences Corporation,CSC spins off CSRA[157],2015-11-24
2015-11-19,ILMN,Illumina,SIAL,Sigma-Aldrich,Sigma-Aldrich acquired by Merck KGaA (MKGAY)[158],2015-11-12
2015-11-18,SYF,Synchrony Financial,GNW,Genworth Financial,GE spinning off Synchrony Financial[159],2015-11-11
2015-11-02,HPE,Hewlett Packard Enterprise,HCBK,Hudson City Bancorp,HPQ spins off HPE[160],2015-10-26
2015-10-07,VRSK,Verisk Analytics,JOY,Joy Global,Market capitalization change.[161],2015-09-30
2015-09-18,CMCSK,Comcast Class K Special,,,Share class methodology change[2],2015-09-11
2015-09-18,FOX,Twenty-First Century Fox Class B,,,Share class methodology change,2015-09-11
2015-09-18,NWS,News Corporation Class B,,,Share class methodology change,2015-09-11
2015-09-02,UAL,United Continental Holdings,HSP,Hospira,Hospira taken over[162],2015-08-26
2015-08-28,ATVI,Activision Blizzard,PLL,Pall Corporation,Pall taken over[162],2015-08-21
2015-07-29,SIG,Signet Jewelers,DTV,DirecTV,DirecTV acquired by AT&T.[163],2015-07-22
2015-07-20,PYPL,PayPal,NE,Noble Corporation,PayPal Spun off by eBay[164],2015-07-13
2015-07-08,AAP,Advance Auto Parts,FDO,Family Dollar,Family Dollar acquired.[165],2015-07-01
2015-07-06,KHC,Kraft Heinz,KRFT,Kraft Foods,Kraft merger with Heinz.[166],2015-06-29
2015-07-02,CPGX,Columbia Pipeline Group,ATI,Allegheny Technologies,Spin off of Columbia Pipeline.[167],2015-06-25
2015-07-01,JBHT,J.B. Hunt,TEG,Integrys Energy Group,Integrys taken over.[168],2015-06-24
2015-07-01,BXLT,Baxalta,QEP,QEP Resources,Baxalta spun off by Baxter.[169],2015-06-24
2015-06-11,QRVO,Qorvo,LO,Lorillard Tobacco Company,Lorillard gets acquired.[170],2015-06-04
2015-04-07,O,Realty Income Corporation,WIN,Windstream Communications,Market capitalization change.[171],2015-03-31
2015-03-23,AAL,American Airlines Group,AGN,Allergan,Allergan acquired by Actavis (and changed name to Allergan).[172],2015-03-16
2015-03-23,EQIX,Equinix,DNR,Denbury Resources,Market Capitalization Changes.[173],2015-03-16
2015-03-23,SLG,SL Green Realty,NBR,Nabors Industries,Market Capitalization Changes.,2015-03-16
2015-03-23,HBI,Hanesbrands,AVP,Avon Products,Market Capitalization Changes.,2015-03-16
2015-03-18,HSIC,Henry Schein,CFN,Carefusion,Carefusion acquired by Becton Dickinson[173],2015-03-11
2015-03-12,SWKS,Skyworks,PETM,PetSmart,PetSmart acquired by private equity consortium[174],2015-03-05
2015-01-27,HCA,HCA Holdings,SWY,Safeway,Safeway acquired by private equity consortium[175],2015-01-20
2015-01-27,ENDP,Endo International,COV,Covidien,Covidien acquired by Medtronic[176],2015-01-20
2014-12-05,RCL,Royal Caribbean Cruises,BMS,Bemis Company,Market cap changes[177],2014-11-28
2014-11-05,LVLT,Level 3 Communications,JBL,Jabil Circuit,Market cap changes[178],2014-10-29
2014-09-20,URI,United Rentals,BTU,Peabody Energy,Market cap changes[179],2014-09-15
2014-09-20,UHS,Universal Health Services,GHC,Graham Holdings,Market cap changes,2014-09-15
2014-08-18,MNK,Mallinckrodt,RDC,Rowan Companies,Market cap changes[180],2014-08-11
2014-08-06,DISCK,Discovery Communications,,,Class C share distribution[181],2014-07-30
2014-07-02,MLM,Martin Marietta,X,United States Steel,Market capitalization changes[182],2014-06-25
2014-07-01,AMG,Affiliated Managers Group,FRX,Forest Laboratories,Actavis acquires Forest Laboratories[183],2014-06-24
2014-06-20,XEC,Cimarex Energy,IGT,International Game Technology,Market capitalization changes[184],2014-06-13
2014-05-08,AVGO,Avago Technologies,LSI,LSI Corporation,Avago acquires LSI[185],2014-05-01
2014-05-01,UA,Under Armour,BEAM,Suntory Global Spirits,Beam acquired by Suntory[186],2014-04-24
2014-05-01,NAVI,Navient,SLM,SLM Corporation,Navient Spun off from SLM[186],2014-04-24
2014-04-03,GOOGL,Google,,,Google Class C share distribution[187],2014-03-27
2014-04-02,ESS,Essex Property Trust,CLF,Cliffs Natural Resources,Market capitalization changes[188],2014-03-26
2014-03-21,GMCR,Keurig Green Mountain,WPX,WPX Energy,Market capitalization changes[189],2014-03-14
2014-01-24,TSCO,Tractor Supply,LIFE,Life Technologies,Life Technologies acquired by Thermo Fisher Scientific Inc[190],2014-01-17
2013-12-23,ADS,Alliance Data Systems,ANF,Abercrombie & Fitch,Market capitalization changes.[191],2013-12-16
2013-12-23,MHK,Mohawk Industries,JDSU,JDS Uniphase,Market capitalization changes.[191],2013-12-16
